name,Price Per Unit,Price Per Measure,Promotion
Chicago Town Cheese Pizza Tomato Stuffed Crust Takeaway,Chicago Town Cheese Pizza Tomat…630g,£4.99,£7.92 per kg,
Chicago Town Crispy Chicago Thin Loaded Cheese ,Chicago Town Crispy Chica…439g,£4,91.1p per 100g,
Chicago Town Crispy Chicago Thin Sausage N Pepperoni ,Chicago Town Crispy Chicago T…431g,£4,92.8p per 100g,
Chicago Town Deep Dish Cheese Pizzas,Chicago Town Deep Dish Cheese Pizzas2 per pack,£2.29,£1.15 each,
Chicago Town Deep Dish Chicken & Bacon Pizzas,Chicago Town Deep Dish Chicken & Bacon Pizzas2 per pack,£2.29,£1.15 each,
Chicago Town Deep Dish Mega Meaty Pizzas,Chicago Town Deep Dish Mega Meaty Pizzas2 per pack,£2.29,£1.15 each,
Chicago Town Deep Dish Peppered Cheese steak ,Chicago Town Deep Dish Peppered Cheese steak 320g,£1.75,54.7p per 100g,"Offer price £1.75, was £2.50"
Chicago Town Deep Dish Pepperoni Pizzas,Chicago Town Deep Dish Pepperoni Pizzas2 per pack,£2.29,£1.15 each,
Chicago Town Deep Dish Piccante N'Duja ,Chicago Town Deep Dish Piccante N'Duja 306g,£1.75,57.2p per 100g,"Offer price £1.75, was £2.50"
Chicago Town Deep Dish Vegan Cheeseburger Pizzas,Chicago Town Deep Dish Vega…2 x 166g,£2.99,£9.01 per kg,
Chicago Town Meat Supreme Pizza Subs ,Chicago Town Meat Supreme Pizza Subs 250g,£1.99,£7.96 per kg,
Chicago Town Stuffed Crust Takeaway Vegan BBQ Jackfruit ,Chicago Town Stuffed Crust Take…490g,£4,81.6p per 100g,
Chicago Town Takeaway Large Cheesy Stuffed Pepperoni Pizza,Chicago Town Takeaway Large Chees…640g,£4.99,£7.80 per kg,
Chicago Town Takeaway Large Stuffed Pepperoni Pizza (Tomato stuffed crust),Chicago Town Takeaway Large Stu…645g,£4.99,£7.74 per kg,
